?R?Start
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  9

  output_wert -->  0 = 0.29162    -  1 = 0.14967    -  2 = 0.02551    -  3 = 0.25999    -  4 = 0.53319    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  10

  output_wert -->  0 = 0.21662    -  1 = 0.19372    -  2 = 0.10738    -  3 = 0.21171    -  4 = 0.22079    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  11

  output_wert -->  0 = 0.14150    -  1 = 0.26292    -  2 = 0.46081    -  3 = 0.15862    -  4 = 0.04426    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  12

  output_wert -->  0 = 0.14150    -  1 = 0.26336    -  2 = 0.46002    -  3 = 0.15859    -  4 = 0.04430    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  13

  output_wert -->  0 = 0.21686    -  1 = 0.19391    -  2 = 0.10746    -  3 = 0.21148    -  4 = 0.22058    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  14

  output_wert -->  0 = 0.26730    -  1 = 0.16229    -  2 = 0.04011    -  3 = 0.24467    -  4 = 0.42730    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  15

  output_wert -->  0 = 0.22720    -  1 = 0.18645    -  2 = 0.08701    -  3 = 0.21873    -  4 = 0.25999    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  16

  output_wert -->  0 = 0.17633    -  1 = 0.22655    -  2 = 0.24249    -  3 = 0.18385    -  4 = 0.10314    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  17

  output_wert -->  0 = 0.09101    -  1 = 0.34320    -  2 = 0.85193    -  3 = 0.11853    -  4 = 0.00796    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  18

  output_wert -->  0 = 0.23292    -  1 = 0.18294    -  2 = 0.07812    -  3 = 0.22207    -  4 = 0.28100    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  19

  output_wert -->  0 = 0.27342    -  1 = 0.15897    -  2 = 0.03575    -  3 = 0.24857    -  4 = 0.45420    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  20

  output_wert -->  0 = 0.20197    -  1 = 0.20465    -  2 = 0.14425    -  3 = 0.20188    -  4 = 0.17212    -   out -> 1
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  21

  output_wert -->  0 = 0.15549    -  1 = 0.24712    -  2 = 0.36071    -  3 = 0.16898    -  4 = 0.06374    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  22

  output_wert -->  0 = 0.09937    -  1 = 0.32561    -  2 = 0.79474    -  3 = 0.12544    -  4 = 0.01131    -   out -> 2
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  23

  output_wert -->  0 = 0.21203    -  1 = 0.19735    -  2 = 0.11834    -  3 = 0.20829    -  4 = 0.20385    -   out -> 0
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 1.00       -  4 = 0.00       -  24

  output_wert -->  0 = 0.28576    -  1 = 0.15257    -  2 = 0.02840    -  3 = 0.25639    -  4 = 0.50836    -   out -> 4
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 1.00       -  25

----------------------------------------------------------------------------------err-7.58346 -- winrate 1.55191
  output_wert -->  0 = 0.28000    -  1 = 0.13226    -  2 = 0.01192    -  3 = 0.24596    -  4 = 0.55039    -   out -> 4
  output soll -->  0 = 1.00       -  1 = 0.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  1

  output_wert -->  0 = 0.18193    -  1 = 0.23153    -  2 = 0.16339    -  3 = 0.19217    -  4 = 0.05352    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 1.00       -  2 = 0.00       -  3 = 0.00       -  4 = 0.00       -  2

  output_wert -->  0 = 0.16809    -  1 = 0.25060    -  2 = 0.23235    -  3 = 0.18347    -  4 = 0.03315    -   out -> 1
  output soll -->  0 = 0.00       -  1 = 0.00       -  2 = 1.00       -  3 = 0.00       -  4 = 0.00       -  3

